image,split,reason,red_pct,median_a
00004.jpg,train,"LAB relative redness (median_a=125, red=3.7%, concentration=100%)",3.69,125
00007.jpg,val,"LAB relative redness (median_a=128, red=8.9%, concentration=100%)",8.90,128
00008.jpg,train,"LAB relative redness (median_a=128, red=14.5%, concentration=100%)",14.54,128
00013.jpg,train,"LAB relative redness (median_a=129, red=10.3%, concentration=100%)",10.35,129
00017.jpg,train,"LAB relative redness (median_a=129, red=6.7%, concentration=100%)",6.71,129
00021.jpg,val,"LAB relative redness (median_a=128, red=15.1%, concentration=100%)",15.12,128
00022.jpg,train,"LAB relative redness (median_a=129, red=35.6%, concentration=100%)",35.62,129
00023.jpg,train,"LAB relative redness (median_a=130, red=36.0%, concentration=100%)",36.03,130
00028.jpg,train,"LAB relative redness (median_a=129, red=9.5%, concentration=100%)",9.48,129
00030.jpg,train,"LAB relative redness (median_a=129, red=7.5%, concentration=100%)",7.49,129
00032.jpg,train,"LAB relative redness (median_a=128, red=9.3%, concentration=100%)",9.32,128
00033.jpg,train,"LAB relative redness (median_a=128, red=9.0%, concentration=100%)",9.00,128
00034.jpg,train,"LAB relative redness (median_a=127, red=11.4%, concentration=100%)",11.37,127
00037.jpg,train,"LAB relative redness (median_a=131, red=6.6%, concentration=100%)",6.59,131
00038.jpg,val,"LAB relative redness (median_a=128, red=8.2%, concentration=100%)",8.24,128
00041.jpg,train,"LAB relative redness (median_a=128, red=14.0%, concentration=96%)",13.97,128
00043.jpg,train,"LAB relative redness (median_a=127, red=7.6%, concentration=100%)",7.59,127
00044.jpg,train,"LAB relative redness (median_a=130, red=9.2%, concentration=100%)",9.17,130
00045.jpg,train,"LAB relative redness (median_a=126, red=10.3%, concentration=100%)",10.29,126
00046.jpg,val,"LAB relative redness (median_a=127, red=6.0%, concentration=100%)",6.01,127
00047.jpg,train,"LAB relative redness (median_a=127, red=33.5%, concentration=100%)",33.51,127
00049.jpg,train,"LAB relative redness (median_a=130, red=15.3%, concentration=99%)",15.29,130
00050.jpg,val,"LAB relative redness (median_a=127, red=6.7%, concentration=100%)",6.68,127
00051.jpg,train,"LAB relative redness (median_a=128, red=6.8%, concentration=100%)",6.79,128
00052.jpg,train,"LAB relative redness (median_a=128, red=5.1%, concentration=100%)",5.12,128
00053.jpg,train,"LAB relative redness (median_a=125, red=5.9%, concentration=100%)",5.90,125
00054.jpg,train,"LAB relative redness (median_a=128, red=2.6%, concentration=100%)",2.57,128
00056.jpg,val,"LAB relative redness (median_a=128, red=5.8%, concentration=100%)",5.80,128
00057.jpg,train,"LAB relative redness (median_a=128, red=14.0%, concentration=100%)",14.00,128
00058.jpg,train,"LAB relative redness (median_a=128, red=14.1%, concentration=94%)",14.12,128
00059.jpg,train,"LAB relative redness (median_a=126, red=3.6%, concentration=100%)",3.62,126
00060.jpg,test,"LAB relative redness (median_a=128, red=8.2%, concentration=100%)",8.17,128
00061.jpg,train,"LAB relative redness (median_a=128, red=5.4%, concentration=100%)",5.41,128
00062.jpg,train,"LAB relative redness (median_a=125, red=6.9%, concentration=100%)",6.88,125
00063.jpg,train,"LAB relative redness (median_a=126, red=7.1%, concentration=100%)",7.14,126
00070.jpg,train,"LAB relative redness (median_a=127, red=9.2%, concentration=100%)",9.23,127
00071.jpg,train,"LAB relative redness (median_a=129, red=16.1%, concentration=100%)",16.06,129
00072.jpg,val,"LAB relative redness (median_a=125, red=25.9%, concentration=100%)",25.89,125
00073.jpg,train,"LAB relative redness (median_a=126, red=6.0%, concentration=100%)",6.04,126
00074.jpg,train,"LAB relative redness (median_a=128, red=5.4%, concentration=100%)",5.43,128
00076.jpg,test,"LAB relative redness (median_a=128, red=6.2%, concentration=100%)",6.16,128
00077.jpg,train,"LAB relative redness (median_a=131, red=7.6%, concentration=98%)",7.62,131
00081.jpg,test,"LAB relative redness (median_a=128, red=1.4%, concentration=98%)",1.37,128
00084.jpg,train,"LAB relative redness (median_a=128, red=8.3%, concentration=100%)",8.26,128
00085.jpg,val,"LAB relative redness (median_a=127, red=4.8%, concentration=100%)",4.75,127
00088.jpg,train,"LAB relative redness (median_a=125, red=4.9%, concentration=100%)",4.87,125
00092.jpg,train,"LAB relative redness (median_a=127, red=5.2%, concentration=100%)",5.25,127
00094.jpg,train,"LAB relative redness (median_a=126, red=8.9%, concentration=100%)",8.94,126
00099.jpg,train,"LAB relative redness (median_a=127, red=7.5%, concentration=100%)",7.48,127
