epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6511,2.02082,3.68443,3.1451,0.03786,0.70108,0.65,0.74072,0.46152,1.28512,1.9645,2.02013,0.00431,0.00028,0.00028,0.00028
2,18.8298,1.13107,1.79268,2.33462,0.01986,0.98214,0.91662,0.98099,0.6994,0.92852,1.29363,1.72963,0.00314,0.000574258,0.000574258,0.000574258
3,28.3361,1.05282,1.26537,1.92623,0.01856,0.95719,1,0.99177,0.72529,0.85993,1.2169,1.88044,0.00415,0.000862576,0.000862576,0.000862576
4,34.4534,0.95402,1.02101,1.88472,0.02466,0.93194,0.98333,0.98175,0.79999,0.7426,0.85217,1.74043,0.00277,0.00114495,0.00114495,0.00114495
5,45.3931,0.95981,0.94711,1.74415,0.01646,0.94207,1,0.98899,0.77176,0.7847,0.9642,1.78074,0.00231,0.00142139,0.00142139,0.00142139
6,53.9221,0.93937,0.84341,1.62924,0.02123,0.97688,0.96667,0.98234,0.80147,0.75724,0.70351,1.62186,0.00244,0.00169189,0.00169189,0.00169189
7,61.0261,0.91066,0.76043,1.62063,0.01698,0.98236,0.92796,0.98477,0.72422,0.87557,0.73513,1.50685,0.0059,0.0018812,0.0018812,0.0018812
8,69.765,0.90008,0.72165,1.5316,0.01867,0.96705,0.97827,0.98979,0.71357,1.03923,0.68794,1.40741,0.01327,0.0018614,0.0018614,0.0018614
9,78.203,0.9342,0.68974,1.48074,0.02264,0.93704,0.99228,0.99158,0.75929,0.8688,0.57582,1.42699,0.00787,0.0018416,0.0018416,0.0018416
10,87.3738,0.85185,0.68124,1.46448,0.02283,0.99505,1,0.995,0.83411,0.69278,0.57226,1.41094,0.00341,0.0018218,0.0018218,0.0018218
11,94.4202,0.87496,0.64778,1.4397,0.02149,0.99943,1,0.995,0.80098,0.76172,0.54904,1.4805,0.00462,0.001802,0.001802,0.001802
12,103.591,0.88342,0.64722,1.44306,0.02645,0.99813,1,0.995,0.80271,0.77876,0.51891,1.5218,0.00393,0.0017822,0.0017822,0.0017822
13,111.166,0.84043,0.63127,1.37754,0.02099,0.97158,1,0.99287,0.82878,0.65697,0.50649,1.45338,0.00192,0.0017624,0.0017624,0.0017624
14,119.556,0.80522,0.60678,1.36379,0.02102,0.99067,1,0.995,0.82017,0.70345,0.51278,1.41039,0.00299,0.0017426,0.0017426,0.0017426
