epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,30.702,1.37717,2.23825,2.65896,0.02018,1,0.98326,0.995,0.79397,0.76685,0.82295,1.83311,0.00351,0.000655556,0.000655556,0.000655556
2,57.6211,0.92545,0.83301,1.68552,0.01344,0.94408,0.98479,0.98677,0.78242,0.78377,0.63924,1.51304,0.00354,0.00130913,0.00130913,0.00130913
3,84.8734,0.90914,0.69624,1.45536,0.02013,0.98325,0.97823,0.9945,0.85466,0.64601,0.49682,1.33412,0.0038,0.00194951,0.00194951,0.00194951
4,112.674,0.87594,0.64257,1.3557,0.01829,0.97096,0.95833,0.99225,0.84591,0.65755,0.49403,1.19473,0.00572,0.0019406,0.0019406,0.0019406
5,140.729,0.80708,0.61081,1.29406,0.01454,0.99367,0.99167,0.995,0.87565,0.55422,0.41765,1.15475,0.00219,0.0019208,0.0019208,0.0019208
6,167.515,0.77999,0.57696,1.2224,0.01422,0.99866,0.98333,0.99492,0.87054,0.58052,0.41817,1.15548,0.00433,0.001901,0.001901,0.001901
7,193.906,0.78839,0.55924,1.18555,0.01794,0.98615,0.98333,0.99458,0.89459,0.53425,0.41329,1.12684,0.0029,0.0018812,0.0018812,0.0018812
8,221.415,0.73745,0.52545,1.20592,0.0157,0.99662,0.99167,0.995,0.89252,0.553,0.39438,1.16053,0.00254,0.0018614,0.0018614,0.0018614
9,250.504,0.73252,0.52586,1.19629,0.01584,0.98226,0.99167,0.99357,0.88148,0.5423,0.37697,1.13952,0.00271,0.0018416,0.0018416,0.0018416
10,278.235,0.74844,0.53214,1.19081,0.01677,0.99704,0.99167,0.995,0.88837,0.54343,0.37489,1.09244,0.00257,0.0018218,0.0018218,0.0018218
11,305.265,0.71069,0.50886,1.14985,0.015,0.98037,0.99167,0.99408,0.89618,0.50852,0.38874,1.08971,0.00205,0.001802,0.001802,0.001802
12,337.634,0.69267,0.49337,1.14199,0.01494,0.95876,1,0.99361,0.89936,0.5222,0.3793,1.08386,0.00205,0.0017822,0.0017822,0.0017822
13,367.07,0.69207,0.49004,1.1364,0.01488,1,0.97426,0.99475,0.90404,0.52094,0.36654,1.0753,0.00285,0.0017624,0.0017624,0.0017624
14,395.148,0.68486,0.48155,1.11539,0.01474,0.9988,0.98333,0.99484,0.89573,0.50989,0.37166,1.05752,0.00167,0.0017426,0.0017426,0.0017426
15,422.41,0.65843,0.47549,1.11481,0.01306,0.99796,0.99167,0.995,0.89116,0.51792,0.38108,1.06059,0.00238,0.0017228,0.0017228,0.0017228
16,448.064,0.6646,0.4578,1.10419,0.01248,1,0.99869,0.995,0.90071,0.51124,0.3357,1.03751,0.00225,0.001703,0.001703,0.001703
17,475.68,0.65473,0.46939,1.11277,0.01443,0.98346,0.99116,0.99458,0.89398,0.48863,0.33313,1.04083,0.00252,0.0016832,0.0016832,0.0016832
18,502.355,0.65285,0.46439,1.09356,0.01352,0.99895,1,0.995,0.91491,0.47242,0.34903,1.04628,0.0015,0.0016634,0.0016634,0.0016634
19,530.695,0.62526,0.446,1.10041,0.01313,1,0.98863,0.995,0.91823,0.46272,0.33098,1.05077,0.00175,0.0016436,0.0016436,0.0016436
20,558.472,0.61247,0.44238,1.06496,0.00975,0.99811,1,0.995,0.91815,0.4443,0.33096,1.05507,0.00171,0.0016238,0.0016238,0.0016238
21,585.371,0.61538,0.43419,1.05805,0.01256,0.97749,1,0.99366,0.91335,0.45212,0.35557,1.02722,0.00139,0.001604,0.001604,0.001604
22,612.101,0.626,0.44383,1.08708,0.01157,0.98384,0.99167,0.99183,0.90703,0.46909,0.34423,1.08393,0.00172,0.0015842,0.0015842,0.0015842
23,639.558,0.60742,0.42071,1.07307,0.00997,0.99855,1,0.995,0.92028,0.4424,0.31608,1.0119,0.00141,0.0015644,0.0015644,0.0015644
24,667.394,0.59955,0.41158,1.03509,0.01248,0.99943,1,0.995,0.92261,0.44222,0.31176,1.01618,0.00133,0.0015446,0.0015446,0.0015446
25,695.993,0.58383,0.42996,1.0533,0.01031,0.9906,1,0.995,0.92427,0.41305,0.31501,0.99444,0.00134,0.0015248,0.0015248,0.0015248
26,724.355,0.57954,0.41242,1.03828,0.01013,0.99974,1,0.995,0.9111,0.44976,0.31119,0.99922,0.00133,0.001505,0.001505,0.001505
27,752.254,0.56999,0.408,1.03989,0.01018,0.97557,0.99825,0.99458,0.92726,0.4423,0.31779,0.99908,0.0016,0.0014852,0.0014852,0.0014852
28,779.667,0.58867,0.41805,1.05884,0.00972,0.99905,1,0.995,0.92131,0.44222,0.31985,1.00813,0.00157,0.0014654,0.0014654,0.0014654
29,805.846,0.59457,0.42034,1.0632,0.01214,0.99925,1,0.995,0.92957,0.43702,0.31358,0.98581,0.00125,0.0014456,0.0014456,0.0014456
30,833.804,0.58438,0.41454,1.0458,0.01129,0.99556,0.99167,0.995,0.91517,0.43039,0.31216,0.95836,0.00186,0.0014258,0.0014258,0.0014258
31,861.677,0.56697,0.40351,1.03623,0.01108,1,0.99288,0.995,0.92264,0.44218,0.29812,0.99294,0.00146,0.001406,0.001406,0.001406
32,889.26,0.57394,0.39817,1.04071,0.01048,0.99727,1,0.995,0.91471,0.43659,0.30011,0.96196,0.00162,0.0013862,0.0013862,0.0013862
33,917.809,0.5618,0.39326,1.02639,0.00975,0.99157,0.98068,0.99467,0.91276,0.44476,0.30737,0.96932,0.00173,0.0013664,0.0013664,0.0013664
34,945.336,0.56355,0.40463,1.02527,0.01066,1,0.99049,0.995,0.92863,0.4085,0.28782,0.98844,0.00137,0.0013466,0.0013466,0.0013466
35,971.62,0.5499,0.38924,1.01721,0.00794,0.99976,1,0.995,0.92913,0.41519,0.28447,0.9805,0.00092,0.0013268,0.0013268,0.0013268
36,998.476,0.56621,0.3952,1.00801,0.01113,0.99947,1,0.995,0.9227,0.43177,0.29994,0.97502,0.00125,0.001307,0.001307,0.001307
37,1026.39,0.53757,0.37946,0.99917,0.00979,0.9961,1,0.995,0.92342,0.41218,0.28283,0.98476,0.00123,0.0012872,0.0012872,0.0012872
38,1053.52,0.55788,0.39452,1.01956,0.01083,0.99923,0.99167,0.995,0.91952,0.41288,0.27702,0.98365,0.00134,0.0012674,0.0012674,0.0012674
39,1080.98,0.55526,0.38501,1.0232,0.0115,0.9835,1,0.99492,0.93034,0.40461,0.28943,0.96118,0.00103,0.0012476,0.0012476,0.0012476
40,1109.32,0.54129,0.38673,1.01199,0.00981,0.99722,1,0.995,0.92655,0.40615,0.28241,0.9764,0.00109,0.0012278,0.0012278,0.0012278
41,1136.28,0.55825,0.38784,1.01753,0.0091,0.99945,1,0.995,0.91794,0.43058,0.29461,0.97116,0.00124,0.001208,0.001208,0.001208
42,1162.42,0.54149,0.37276,1.01217,0.00889,0.99953,1,0.995,0.94149,0.39028,0.26684,0.93493,0.00097,0.0011882,0.0011882,0.0011882
43,1190.48,0.54366,0.37832,1.0107,0.01145,0.99947,1,0.995,0.92163,0.4173,0.27249,0.98175,0.00097,0.0011684,0.0011684,0.0011684
44,1217.91,0.55593,0.39325,1.03316,0.00948,1,0.99829,0.995,0.91677,0.43784,0.29249,1.01287,0.00161,0.0011486,0.0011486,0.0011486
45,1244.89,0.54453,0.38346,0.99784,0.00913,0.99912,1,0.995,0.93649,0.39665,0.26894,0.97705,0.001,0.0011288,0.0011288,0.0011288
46,1272.26,0.49936,0.35334,0.97909,0.00696,0.99652,1,0.995,0.94047,0.40742,0.27191,0.97974,0.00118,0.001109,0.001109,0.001109
47,1299.24,0.52894,0.37766,0.99415,0.01002,1,0.9996,0.995,0.93712,0.4031,0.27785,0.98028,0.00107,0.0010892,0.0010892,0.0010892
48,1324.71,0.5262,0.37498,0.99572,0.00801,1,0.99962,0.995,0.93498,0.41493,0.27842,0.97283,0.00108,0.0010694,0.0010694,0.0010694
49,1351.27,0.52176,0.36845,1.00118,0.00933,0.99838,1,0.995,0.91296,0.44497,0.2878,0.99179,0.00134,0.0010496,0.0010496,0.0010496
50,1379.7,0.51038,0.3611,0.99312,0.00859,0.99941,1,0.995,0.93715,0.39561,0.27096,0.98471,0.00117,0.0010298,0.0010298,0.0010298
51,1407.35,0.50797,0.35718,0.98574,0.00831,0.98094,1,0.995,0.93084,0.41584,0.27038,0.98019,0.00146,0.00101,0.00101,0.00101
52,1436.11,0.48916,0.34882,0.97922,0.0082,0.99947,1,0.995,0.93922,0.3933,0.26481,0.98805,0.00085,0.0009902,0.0009902,0.0009902
53,1463.87,0.49283,0.34978,0.98014,0.00636,0.99948,1,0.995,0.94544,0.3735,0.26131,0.97023,0.00081,0.0009704,0.0009704,0.0009704
54,1490.93,0.49726,0.3481,0.9741,0.0073,0.99941,1,0.995,0.93437,0.38233,0.25198,0.94663,0.0008,0.0009506,0.0009506,0.0009506
55,1516.87,0.50003,0.34997,0.98369,0.00813,0.99845,1,0.995,0.93903,0.39345,0.26475,0.98521,0.00097,0.0009308,0.0009308,0.0009308
56,1543.95,0.49093,0.34812,0.97038,0.00686,0.99859,1,0.995,0.94179,0.38545,0.25994,0.96896,0.00091,0.000911,0.000911,0.000911
57,1571.43,0.47685,0.33109,0.96611,0.00846,0.99947,1,0.995,0.94329,0.37575,0.25319,0.96314,0.00083,0.0008912,0.0008912,0.0008912
58,1598.23,0.49106,0.3482,0.97701,0.00824,0.99934,1,0.995,0.93373,0.38982,0.25052,0.97301,0.00077,0.0008714,0.0008714,0.0008714
59,1625.71,0.47424,0.3389,0.97301,0.00725,0.99944,1,0.995,0.93972,0.38353,0.25367,0.95184,0.00089,0.0008516,0.0008516,0.0008516
60,1651.4,0.48816,0.33706,0.97321,0.00718,0.9965,1,0.995,0.93749,0.38052,0.25599,0.96599,0.00086,0.0008318,0.0008318,0.0008318
61,1678.72,0.48129,0.34057,0.98522,0.00704,0.9906,1,0.99492,0.94686,0.37633,0.26806,0.93959,0.00083,0.000812,0.000812,0.000812
62,1706.35,0.48361,0.33977,0.97242,0.00818,0.99944,1,0.995,0.93452,0.39151,0.26264,0.94059,0.00097,0.0007922,0.0007922,0.0007922
63,1733.4,0.47521,0.33295,0.96901,0.00801,0.99112,1,0.99492,0.94081,0.38316,0.26001,0.95876,0.00089,0.0007724,0.0007724,0.0007724
64,1760.82,0.47667,0.33491,0.96566,0.00762,1,0.99914,0.995,0.93817,0.37813,0.26193,0.93651,0.00075,0.0007526,0.0007526,0.0007526
65,1788.02,0.47324,0.32709,0.96636,0.00607,0.99934,1,0.995,0.94459,0.38053,0.25227,0.9649,0.00087,0.0007328,0.0007328,0.0007328
66,1814.69,0.47377,0.33313,0.97007,0.00826,0.99794,1,0.995,0.93643,0.38638,0.24999,0.94166,0.00094,0.000713,0.000713,0.000713
67,1841.49,0.4593,0.32951,0.95701,0.00663,0.99842,1,0.995,0.93629,0.38466,0.24426,0.98747,0.00092,0.0006932,0.0006932,0.0006932
