threshold,match_rate,readable_rate,auto_validation_rate,auto_validation_precision,auto_validation_error_rate,review_rate,no_detection_rate,correct_but_reviewed_rate,valid_count,valid_correct,valid_incorrect,review_count,no_detection_count
0.5,0.9583,1.0,1.0,0.9583,0.0417,0.0,0.0,0.0,120,115,5,0,0
0.55,0.9583,1.0,1.0,0.9583,0.0417,0.0,0.0,0.0,120,115,5,0,0
0.6,0.9583,1.0,1.0,0.9583,0.0417,0.0,0.0,0.0,120,115,5,0,0
0.65,0.9583,1.0,1.0,0.9583,0.0417,0.0,0.0,0.0,120,115,5,0,0
0.7,0.9583,1.0,0.9333,0.9643,0.0357,0.0667,0.0,0.0583,112,108,4,8,0
0.75,0.9583,1.0,0.85,0.9804,0.0196,0.15,0.0,0.125,102,100,2,18,0
0.8,0.9583,1.0,0.6,1.0,0.0,0.4,0.0,0.3583,72,72,0,48,0
0.85,0.9583,1.0,0.35,1.0,0.0,0.65,0.0,0.6083,42,42,0,78,0
0.9,0.9583,1.0,0.1,1.0,0.0,0.9,0.0,0.8583,12,12,0,108,0
0.95,0.9583,1.0,0.0,,,1.0,0.0,0.9583,0,0,0,120,0
