serial,cuenta,medidor,expected_raw,expected_digits,expected_norm,expected_digit_len,image_path,image_found,reading,predicted_digits,predicted_norm,business_match,status,outcome,global_confidence,detection_confidence,recognition_confidence,orientation_confidence,orientation_method,total_ms,detection_ms,preprocessing_ms,ocr_ms,warnings
pilot_0001,<redacted>,<redacted>,140,140,140,3,<redacted>,True,,,,False,no_detection,no_detection,0.0,0.0,0.0,0.0,none,221.5,221.46739999880083,,,
pilot_0002,<redacted>,<redacted>,11740,11740,11740,5,<redacted>,True,0,0,0,False,valid,mismatch,0.8664,0.9351,0.9265,0.0532,dual_ocr,895.9,169.7,402.0,323.6,"Orientation ambiguous (method=dual_ocr, delta=0.0532)"
pilot_0003,<redacted>,<redacted>,7295,7295,7295,4,<redacted>,True,0729,0729,729,False,valid,mismatch,0.8001,0.9121,0.8772,1.0,dual_ocr,898.4,166.2,365.6,366.1,
pilot_0004,<redacted>,<redacted>,1,1,1,1,<redacted>,True,0000,0000,0,False,valid,mismatch,0.7107,0.9382,0.7575,0.5737,red_position,603.2,208.7,235.3,158.6,
pilot_0005,<redacted>,<redacted>,3723,3723,3723,4,<redacted>,True,723,723,723,False,valid,mismatch,0.7621,0.9145,0.8333,0.6319,red_position,784.3,193.3,447.8,142.7,
pilot_0006,<redacted>,<redacted>,3900,3900,3900,4,<redacted>,True,390,390,390,False,valid,mismatch,0.8024,0.9328,0.8602,0.9111,dual_ocr,690.2,224.1,121.2,344.5,
pilot_0007,<redacted>,<redacted>,9408,9408,9408,4,<redacted>,True,,,,False,needs_review,no_reading,0.0,0.8586,0.0,0.0,dual_ocr,721.2,195.5,207.3,317.8,"Orientation ambiguous (method=dual_ocr, delta=0.0000)"
pilot_0008,<redacted>,<redacted>,8518,8518,8518,4,<redacted>,True,,,,False,no_detection,no_detection,0.0,0.0,0.0,0.0,none,186.4,186.42640000325628,,,
pilot_0009,<redacted>,<redacted>,140,140,140,3,<redacted>,True,,,,False,no_detection,no_detection,0.0,0.0,0.0,0.0,none,203.9,203.86650000000373,,,
pilot_0010,<redacted>,<redacted>,140,140,140,3,<redacted>,True,,,,False,no_detection,no_detection,0.0,0.0,0.0,0.0,none,176.2,176.1677000031341,,,
pilot_0011,<redacted>,<redacted>,210,210,210,3,<redacted>,True,,,,False,no_detection,no_detection,0.0,0.0,0.0,0.0,none,171.0,171.01689998526126,,,
pilot_0012,<redacted>,<redacted>,608,608,608,3,<redacted>,True,,,,False,no_detection,no_detection,0.0,0.0,0.0,0.0,none,155.4,155.35950000048615,,,
pilot_0013,<redacted>,<redacted>,1107,1107,1107,4,<redacted>,True,107,107,107,False,valid,mismatch,0.9018,0.9397,0.9597,0.6287,red_position,837.6,207.6,467.6,161.9,
pilot_0014,<redacted>,<redacted>,1536,1536,1536,4,<redacted>,True,05,05,5,False,needs_review,mismatch,0.6553,0.9345,0.7013,0.6395,red_position,715.9,172.1,369.5,173.8,
pilot_0015,<redacted>,<redacted>,4158,4158,4158,4,<redacted>,True,158,158,158,False,valid,mismatch,0.7048,0.8978,0.785,0.4231,red_position,919.1,212.4,424.2,282.1,
pilot_0016,<redacted>,<redacted>,3001,3001,3001,4,<redacted>,True,301,301,301,False,valid,mismatch,0.7947,0.9358,0.8493,0.6495,red_position,688.0,197.8,287.7,198.9,
pilot_0017,<redacted>,<redacted>,1007,1007,1007,4,<redacted>,True,07,07,7,False,valid,mismatch,0.8332,0.9294,0.8965,0.6478,red_position,618.1,152.9,230.7,234.1,
pilot_0018,<redacted>,<redacted>,675,675,675,3,<redacted>,True,90,90,90,False,valid,mismatch,0.8771,0.9372,0.9359,0.288,dual_ocr,1104.2,288.5,305.3,509.9,
pilot_0019,<redacted>,<redacted>,4308,4308,4308,4,<redacted>,True,430,430,430,False,needs_review,mismatch,0.5111,0.8492,0.6018,0.5612,red_position,806.0,164.8,463.9,176.8,
pilot_0020,<redacted>,<redacted>,8798,8798,8798,4,<redacted>,True,,,,False,no_detection,no_detection,0.0,0.0,0.0,0.0,none,264.2,264.1594000160694,,,
pilot_0021,<redacted>,<redacted>,1097,1097,1097,4,<redacted>,True,10097,10097,10097,False,needs_review,mismatch,0.6677,0.9242,0.7225,0.798,red_position,717.9,161.9,388.2,167.4,
